Date,Open,High,Low,Close,Volume,Adj Close
4/7/2017,55.099998,55.240002,54.77,55.110001,6078300,54.734707
4/10/2017,55,55.330002,54.720001,54.900002,5472700,54.526138
4/11/2017,54.950001,55.07,54.549999,54.919998,4348600,54.545998
4/12/2017,54.66,55.619999,54.5,55.57,8504100,55.191574
4/13/2017,55.41,55.599998,55.259998,55.34,5282100,54.963139
4/17/2017,55.32,56.34,55.25,56.240002,7688700,55.857014
4/18/2017,56.02,56.419998,55.799999,56.110001,5651100,55.727898
4/19/2017,56.16,56.220001,55.740002,55.860001,5947700,55.479599
4/20/2017,55.959999,56.689999,55.880001,56.400002,6867100,56.015926
4/21/2017,56.290001,56.380001,55.68,55.849998,6055600,55.469666
4/24/2017,56.139999,56.209999,55.470001,55.470001,10777700,55.092258
4/25/2017,55.529999,55.77,55.41,55.450001,8971000,55.072395
4/26/2017,55.459999,55.84,55.119999,55.16,10936000,54.784367
4/27/2017,55.18,55.57,54.91,55.470001,8558000,55.092258
4/28/2017,55.43,55.529999,55.139999,55.41,6415300,55.032665
5/1/2017,55.43,55.450001,54.98,54.990002,4881400,54.615524
5/2/2017,55.119999,55.16,54.790001,55.07,7363600,54.694981
5/3/2017,55.169998,55.299999,54.400002,54.529999,9474700,54.158657
5/4/2017,54.68,54.830002,54.200001,54.470001,6830600,54.099068
5/5/2017,54.41,54.5,53.560001,53.950001,13379900,53.582607
5/8/2017,54.18,54.509998,53.830002,54.299999,8728100,53.930225
5/9/2017,54.330002,55.080002,54.16,54.889999,6441200,54.516205
5/10/2017,54.91,55.060001,54.509998,54.560001,5823000,54.188454
5/11/2017,54.52,54.52,53.400002,54.240002,6499600,53.870632
5/12/2017,54.099998,54.389999,53.790001,54.200001,5606300,53.830906
5/15/2017,54.119999,54.200001,53.68,53.77,8201700,53.403831
5/16/2017,52.369999,53.380001,52.119999,52.779999,14562700,52.420574
5/17/2017,52.779999,52.869999,51.799999,51.799999,18341500,51.44725
5/18/2017,51.970001,52.080002,51.299999,51.68,22576500,51.328068
5/19/2017,51,52.110001,50.810001,51.77,20047800,51.41745
5/22/2017,51.77,51.959999,51.400002,51.57,13671500,51.218815
